omega,a,N,depth,node_index,d,e,span_width,theta_mean,theta_std,theta_min,theta_max,minimum_cosine,minimum_sine,left_phase_summary,right_phase_summary,local_reconstruction_residual,unitarity_residual,symmetry_residual,control
2,2,64,5,3,17,64,4,0.36232026954886265,0.05146095940700715,0.3108593101418555,0.41378122895586983,0.9156070369273023,0.3058768736079974,0.11490020234697168,0.0,8.436245590256363e-16,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,3,1,7,16,16,0.7381705612237981,0.5903686267363019,1.604221644599057e-14,1.4397219799937195,0.13069934895022722,1.604221644599057e-14,0.030116950419628127,0.06599130538524192,3.567465748571457e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,4,2,7,32,8,0.7143972507771744,0.6021581226833633,0.11544228318764252,1.5092459970183092,0.061511473817184914,0.11518603896808036,0.06046062816776995,0.0698144388191979,1.4576561858275782e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,4,7,64,4,0.0564556595115401,0.0564556595115401,0.0,0.1129113190230802,0.9936322864797594,0.0,-0.9434395866887448,-0.9434395866888159,4.280821484388835e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,5,25,64,4,0.6655552267669465,0.665555226766241,7.054774447414566e-13,1.3311104535331875,0.23739749147460887,7.054774447414566e-13,0.9316630092303733,-0.9316630092302206,1.0577966806652809e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,4,3,9,32,8,0.6520580976232272,0.6215159890553359,0.0,1.3824036891341387,0.18728021506251447,0.0,-0.350972650178876,-0.7298737620230251,1.1147233600133494e-14,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,6,9,64,4,0.07273427211131722,0.07273427211123237,8.485758007032333e-14,0.1454685442225496,0.9894380961667902,8.485758007032333e-14,0.0,0.0,5.695166060714181e-16,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,7,23,64,4,0.24779306764537454,0.1602449417253889,0.08754812591998566,0.4080380093707634,0.9179011248958909,0.0874363307930305,-0.9943407622749048,0.0,1.2804571771624646e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,2,1,3,8,32,0.8334630545497246,0.5222274137594864,7.694735943117257e-14,1.5646888907472702,0.006107398079014137,7.694735943117257e-14,-0.04026747825663919,-0.010669892280794216,3.2721615632315703e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,3,2,3,16,16,0.7176808415586691,0.5162842119534395,4.678750640154297e-13,1.5341268245423112,0.03666128484940843,4.678750640154297e-13,-0.16566511065619152,-0.043956146419214935,2.0227624067239077e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,4,4,3,32,8,0.47483889114707745,0.5275908155845472,4.850229911502053e-14,1.2748857039180526,0.29161101537695744,4.850229911502053e-14,-0.09021841374624193,0.2629570167866852,5.076257877832806e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,8,3,64,4,0.5588062144160909,0.5588062144131425,2.9484261774444476e-12,1.1176124288292333,0.43783025629901684,2.9484261774444476e-12,0.0,0.9845139617038983,8.874869885552062e-16,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,9,29,64,4,0.413620950509803,0.4136209505096007,2.0236170889906405e-13,0.8272419010194036,0.6769084783277937,2.0236170889906405e-13,-0.9905410624331776,0.0,8.158598504214887e-16,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,4,5,13,32,8,0.9712625750760174,0.5947685549642926,1.1341888567079794e-12,1.5454804910625,0.025313131701561086,1.1341888567079794e-12,-0.13839268170456892,-0.018803016426577,1.1865016577511297e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,10,13,64,4,0.7048164180455714,0.7020462471821797,0.002770170863391706,1.4068626652277512,0.16320038200282358,0.0027701673204153492,0.8635620207917023,0.0,1.1065159188984587e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,11,19,64,4,0.30373739530903515,0.3037373953082377,7.974994733499688e-13,0.6074747906172728,0.8210920132771887,7.974994733499688e-13,1.6653345369377348e-16,0.0,1.0294514902523814e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,3,3,5,16,16,0.8496874031046948,0.49291374934749677,0.0,1.5651850397702882,0.005611257577983925,0.0,-0.003433815722694966,0.031634379292016526,8.730960964526995e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,4,6,5,32,8,0.7984202553568441,0.700324675333031,2.911376522399738e-13,1.5652433950786089,0.005552903178843287,2.911376522399738e-13,-0.09161004371489669,0.17862007519706374,1.0991145431965618e-14,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,12,5,64,4,0.7364951530644951,0.3825645468567346,0.3539306062077605,1.1190596999212297,0.4365286180612662,0.3465874533397557,0.0,-0.4392766435572732,1.0326465949831976e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,13,27,64,4,0.23776209643486793,0.23776209643422605,6.418607435463767e-13,0.475524192869094,0.8890528659022655,6.418607435463767e-13,-0.8824188088116836,0.0,9.41533217383577e-16,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,4,7,11,32,8,0.31515717753949074,0.4242758840505345,2.8731293297560184e-13,1.0320256425287992,0.5130812086560564,2.8731293297560184e-13,0.08743790251492925,-0.08743790251478531,1.8863630351718364e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,14,11,64,4,7.378394201970912e-13,6.221136028751658e-13,1.1572581732192532e-13,1.359953023072257e-12,1.0,1.1572581732192532e-13,0.0,0.0,4.51463135336006e-16,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,15,21,64,4,0.21578571627447968,0.044344768931512776,0.17144094734296692,0.26013048520599247,0.9663564246987723,0.17060234868758514,-0.9777003145833367,0.0,8.754844085640397e-16,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,1,1,1,4,64,1.0674426904195249,0.4150684532382161,0.1245002481679508,1.5485324860712042,0.022262001484362515,0.12417886523503986,-0.01307828273810517,-0.03085543436367784,5.5863714362324175e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,2,2,1,8,32,0.6984687799430845,0.5316052098111809,0.0,1.5422355928377427,0.02855685120983974,0.0,-0.010600197467014748,0.04037474839241684,8.079223254485147e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,3,4,1,16,16,0.6367828612356565,0.5131339856865116,1.4370282019320158e-13,1.4260327652753158,0.14425846840116469,1.4370282019320158e-13,-0.20655842934613663,-0.03712866261666968,1.0930682765805223e-14,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,4,8,1,32,8,0.07754566475812998,0.06851641896184027,0.0014988960345641217,0.15672606450766624,0.9877435891061174,0.0014988954733052321,0.03364620000460683,0.3104442557951286,1.935928603487204e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,16,1,64,4,0.026883831748703416,0.020812496509907658,0.0060713352387957555,0.04769632825861107,0.9988627457585874,0.006071297939503552,0.0,-0.9993548014426805,1.0359517860802812e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
