omega,a,N,symmetry_residual,lambda_min,lambda_max,spectral_radius,defect_margin,determinant_arguments_positive,logdet_plus,logdet_minus,log_m,m,quadrature,ordinary_fredholm_claim
1.5,3,128,0.0,-0.9997724190939614,0.9999428807729577,0.9999428807729577,0.0001142351914785733,True,-35.59886717848688,-41.42929246472113,5.830425286234252,340.50345971709174,midpoint_log_grid_split-aware-kernel-sampling,True
1.5,4,128,0.0,-0.9997819705055351,0.9999445386007924,0.9999445386007924,0.00011091972244847703,True,-51.92915867803136,-57.89765548545196,5.968496807420607,390.91760443002306,midpoint_log_grid_split-aware-kernel-sampling,True
1.25,1.05,128,0.0,-0.07659500903738214,0.24844781240793207,0.24844781240793207,0.938273684509713,True,0.16548715750264786,-0.23883286523596936,0.4043200227386172,1.4982833549857995,midpoint_log_grid_split-aware-kernel-sampling,True
1.25,1.1,128,0.0,-0.17366679516165334,0.4892721397308548,0.4892721397308548,0.7606127732831909,True,0.2552014767254421,-0.5792808797806237,0.8344823565060657,2.3036212850298923,midpoint_log_grid_split-aware-kernel-sampling,True
1.25,1.25,128,0.0,-0.4899343411183507,0.8985539269191065,0.8985539269191065,0.19260084041825298,True,0.04925143330209614,-2.1344149236446857,2.183666356946782,8.878799504646555,midpoint_log_grid_split-aware-kernel-sampling,True
1.25,1.5,128,0.0,-0.9712231681961293,0.9995335006889792,0.9995335006889792,0.0009327810004344794,True,-2.7146701932884767,-8.072979511805366,5.3583093185168895,212.36560017722954,midpoint_log_grid_split-aware-kernel-sampling,True
1.25,2,128,0.0,-0.9997438113959283,0.9999326406735202,0.9999326406735202,0.0001347141156807785,True,-14.949613911418725,-20.397917287240965,5.44830337582224,232.3635975875361,midpoint_log_grid_split-aware-kernel-sampling,True
1.25,3,128,0.0,-0.9997763397994495,0.9999440919202973,0.9999440919202973,0.00011181303369200979,True,-36.24298431965163,-42.08130083154474,5.838316511893105,343.2010791183514,midpoint_log_grid_split-aware-kernel-sampling,True
1.25,4,128,0.0,-0.999785743215081,0.9999451179159441,0.9999451179159441,0.000109761156068644,True,-52.44878219733611,-58.43187518711831,5.9830929897822,396.66535463224807,midpoint_log_grid_split-aware-kernel-sampling,True
1.1,1.05,128,0.0,-0.10439457026085905,0.3003250729102215,0.3003250729102215,0.9098048505814702,True,0.18384118450689746,-0.29876247947212753,0.482603663979025,1.6202875993960764,midpoint_log_grid_split-aware-kernel-sampling,True
1.1,1.1,128,0.0,-0.21515189336220386,0.542370191323865,0.542370191323865,0.7058345755633141,True,0.24581039119627363,-0.6825842014527383,0.928394592649012,2.5304435223426056,midpoint_log_grid_split-aware-kernel-sampling,True
1.1,1.25,128,0.0,-0.5387541691075555,0.9153496735549902,0.9153496735549902,0.16213497512277286,True,-0.06638536583841859,-2.361452416806515,2.2950670509680964,9.925101477637583,midpoint_log_grid_split-aware-kernel-sampling,True
1.1,1.5,128,0.0,-0.9773289383419346,0.9996333261165069,0.9996333261165069,0.0007332133172494038,True,-3.0641842256942766,-8.529665575648615,5.465481349954338,236.3896138576164,midpoint_log_grid_split-aware-kernel-sampling,True
1.1,2,128,0.0,-0.9997506954827199,0.9999338052282019,0.9999338052282019,0.00013238516184843618,True,-15.3886705199113,-20.890994533919525,5.5023240140082255,245.26126105029192,midpoint_log_grid_split-aware-kernel-sampling,True
1.1,3,128,0.0,-0.9997785294425112,0.9999447724452668,0.9999447724452668,0.00011045205938353675,True,-36.74524075906147,-42.56438351000979,5.819142750948323,336.68330843760924,midpoint_log_grid_split-aware-kernel-sampling,True
1.1,4,128,0.0,-0.9997877844199542,0.9999455251684884,0.9999455251684884,0.00010894669551586578,True,-52.853385638068,-58.82703817094208,5.973652532874084,392.93827280304527,midpoint_log_grid_split-aware-kernel-sampling,True
1.05,1.05,128,0.0,-0.11573066818009767,0.3194117833629798,0.3194117833629798,0.8979761126488809,True,0.18857288741531092,-0.3226237216964236,0.5111966091117346,1.6672850902821965,midpoint_log_grid_split-aware-kernel-sampling,True
