task,width,model,parameters,validation_score,effective_affine_dof,score,learning_auc,seconds,steps_to_80,steps_to_90,accuracy,normalized_mse,tail_score,tail_survival,jacobian_variability,base_only_drop,uniform_drop,mismatched_drop,up_allocation_variation,down_allocation_variation,up_correction_ratio,down_correction_ratio
pinwheel,16,ordinary_mlp,2345,0.9994767308235168,,0.9994767308235168,0.962912734657526,0.5422638890000021,33.333333333333336,125.0,0.9995151360829672,,,,0.7485682566960653,,,,,,,
pinwheel,16,soft_eikonal,2345,1.0,,1.0,0.9692331167769929,3.9776820833333395,41.666666666666664,91.66666666666667,1.0,,,,1.0303720235824585,0.182935239871343,0.17412058512369796,0.24920860131581626,0.13798159112532934,0.16136576731999716,0.2107828458150228,0.31171156962712604
pinwheel,36,ordinary_mlp,7925,0.999731183052063,,0.999731183052063,0.9753968716313443,0.6856097223333345,25.0,83.33333333333333,0.9997575680414835,,,,0.8598604003588358,,,,,,,
pinwheel,36,soft_eikonal,7925,1.0,,1.0,0.9795025502343973,4.1846652780000015,25.0,75.0,1.0,,,,1.000329315662384,0.13709143797556564,0.11577410499254863,0.24795647859573366,0.09480736901362737,0.16379930327335993,0.11541136354207993,0.3842019538084666
radial_stripes,16,ordinary_mlp,2294,0.5191136399904887,,0.5191136399904887,0.49792130302793036,0.6244529720000003,,,0.5196190277735392,,,,1.2915709018707275,,,,,,,
radial_stripes,16,soft_eikonal,2294,0.6470443159341812,,0.6470443159341812,0.5214183136514232,4.440021236000007,,,0.647428572177887,,,,3.432236909866333,0.14694955199956894,0.14694292346636453,0.1506955474615097,0.12188918640216191,0.13548855980237326,0.2648911674817403,1.119971752166748
radial_stripes,36,ordinary_mlp,7814,0.5187185208002726,,0.5187185208002726,0.49686586432236557,0.7758391529999926,,,0.5196190476417542,,,,0.5949207544326782,,,,,,,
radial_stripes,36,soft_eikonal,7814,0.8047048846880595,,0.8047048846880595,0.5766776738965079,4.686946056000001,650.0,,0.8045714100201925,,,,5.981818596522014,0.29402325054009754,0.2859622960289319,0.3008374174435933,0.1084174116452535,0.15343785285949707,0.07523344457149506,1.8686203956604004
ring_sdf,16,ordinary_mlp,2277,0.9991810532038818,,0.9991810532038818,0.9853366634335985,0.35083466633333654,25.0,33.333333333333336,,0.0008196281269192696,,,14.200198968251547,,,,,,,
ring_sdf,16,soft_eikonal,2277,0.999957358205164,,0.999957358205164,0.9812025734014349,3.812543875000017,41.666666666666664,50.0,,4.2643712125330545e-05,,,13.903353134791056,0.10680424679922522,0.08995739783905161,0.08468334649022598,0.04556340848406156,0.06726061925292015,0.054791981975237526,0.26823889712492627
ring_sdf,36,ordinary_mlp,7777,0.9993285394616391,,0.9993285394616391,0.9874254522620709,0.5396367780000068,25.0,25.0,,0.0006719227142942449,,,18.316798210144043,,,,,,,
